City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hirara,24.8,125.2833,22.15,88,75,6.69,JP,1680103663
84,ulaanbaatar,47.9077,106.8832,-2.93,68,0,2.0,MN,1680103481
85,nikolskoye,59.7035,30.7861,-2.06,96,100,4.44,RU,1680103638
86,sao joao da barra,-21.6403,-41.0511,31.05,71,97,3.94,BR,1680103664
87,carnarvon,-24.8667,113.6333,24.63,76,100,4.59,AU,1680103664
88,araouane,18.9048,-3.5265,38.49,5,2,5.29,ML,1680103664
89,barra do corda,-5.5,-45.25,28.52,72,100,0.99,BR,1680103664
90,codrington,-38.2667,141.9667,13.91,77,98,4.48,AU,1680103665
91,mehamn,71.0357,27.8492,-2.03,64,75,4.63,NO,1680103665
92,kudahuvadhoo,2.6708,72.8944,27.99,73,62,3.06,MV,1680103665
93,bambous virieux,-20.3428,57.7575,27.14,78,75,4.12,MU,1680103665
94,vaini,-21.2,-175.2,23.09,100,20,1.54,TO,1680103665
95,salalah,17.0151,54.0924,29.05,84,75,3.6,OM,1680103666
96,itoman,26.1247,127.6694,19.21,88,100,5.66,JP,1680103666
97,norman wells,65.282,-126.8329,-10.98,79,75,6.69,CA,1680103666
98,fort nelson,58.8053,-122.7002,-0.23,96,100,2.57,CA,1680103666
99,sompeta,18.9333,84.6,27.07,79,17,6.5,IN,1680103666
100,devils lake,48.1128,-98.8651,-16.7,81,0,1.54,US,1680103667
101,canyon,34.9803,-101.9188,11.93,27,0,8.4,US,1680103604
102,tahoua,14.8888,5.2692,36.99,9,13,4.12,NE,1680103668
103,alofi,-19.0595,-169.9187,25.94,89,100,3.09,NU,1680103668
104,sosnovo-ozerskoye,52.5249,111.5418,1.28,85,89,5.8,RU,1680103668
105,upernavik,72.7868,-56.1549,-23.93,76,14,2.57,GL,1680103668
106,hobart,-42.8794,147.3294,14.03,81,100,7.2,AU,1680103633
107,hamilton,39.1834,-84.5333,10.9,62,0,3.6,US,1680103394
108,ecoporanga,-18.3733,-40.8306,30.43,46,46,2.14,BR,1680103669
109,north bend,43.4065,-124.2243,3.98,94,0,0.0,US,1680103669
110,talpa,28.8257,-111.6257,18.97,15,0,0.66,MX,1680103669
111,avarua,-21.2078,-159.775,25.03,94,20,4.63,CK,1680103670
112,mezhova,48.2532,36.7347,3.4,62,100,6.52,UA,1680103670
113,avera,33.194,-82.5271,14.95,44,99,6.31,US,1680103670
114,arraial do cabo,-22.9661,-42.0278,29.98,65,75,8.23,BR,1680103671
115,ivanovka,42.8878,75.085,15.48,43,100,0.66,KG,1680103671
116,saint-augustin,51.226,-58.6502,1.12,71,100,1.44,CA,1680103671
117,kashary,49.04,41.0056,11.85,80,100,2.64,RU,1680103671
118,vila franca do campo,37.7167,-25.4333,17.23,72,64,6.94,PT,1680103671
119,dali,25.7,100.1833,11.17,47,0,2.91,CN,1680103672
120,saint-philippe,-21.3585,55.7679,26.77,80,29,4.23,RE,1680103672
121,lompoc,34.6391,-120.4579,9.91,87,75,2.57,US,1680103672
122,aswan,24.0934,32.907,31.69,7,87,6.08,EG,1680103672
123,sal rei,16.1833,-22.9167,28.11,54,20,5.66,CV,1680103673
124,uinskoye,56.8817,56.5813,-0.35,85,9,3.39,RU,1680103673
125,portland,45.5234,-122.6762,6.22,94,100,2.57,US,1680103248
126,amazar,53.858,120.875,-10.6,94,11,1.25,RU,1680103673
127,iqaluit,63.7506,-68.5145,-17.15,77,100,10.29,CA,1680103673
128,chuy,-33.6971,-53.4616,27.38,45,0,3.56,UY,1680103674
129,talnakh,69.4865,88.3972,-27.26,98,51,3.1,RU,1680103674
130,hambantota,6.1241,81.1185,28.19,89,75,1.03,LK,1680103675
131,west wendover,40.7391,-114.0733,5.56,52,100,5.66,US,1680103473
132,leningradskiy,69.3833,178.4167,-9.59,82,100,2.58,RU,1680103675
133,imbituba,-28.24,-48.6703,29.36,62,2,4.12,BR,1680103675
134,lazaro cardenas,17.9583,-102.2,27.28,44,53,1.3,MX,1680103675
135,takoradi,4.8845,-1.7554,30.16,68,100,6.49,GH,1680103676
136,skjervoy,70.0311,20.9714,-2.0,57,100,4.12,NO,1680103676
137,estelle,29.8458,-90.1067,15.56,60,100,7.2,US,1680103676
138,fortuna,40.5982,-124.1573,6.19,89,100,3.13,US,1680103548
139,homer,59.6425,-151.5483,-2.06,93,100,0.0,US,1680103438
140,raga,8.4596,25.678,36.01,11,100,1.54,SS,1680103677
141,santa ana,33.7456,-117.8678,11.95,91,100,3.6,US,1680103644
142,shintomi,32.0785,131.4723,11.62,66,100,1.72,JP,1680103677
143,russkaya polyana,49.417,31.9201,1.93,66,100,6.47,UA,1680103678
144,fairbanks,64.8378,-147.7164,-9.11,80,0,4.12,US,1680103500
145,ipixuna,-1.7625,-48.8043,25.43,90,98,1.19,BR,1680103678
146,gamba,-2.65,10.0,27.07,81,87,2.81,GA,1680103679
147,esperance,-33.8667,121.9,16.55,80,31,4.89,AU,1680103679
148,port elizabeth,-33.918,25.5701,19.5,60,0,8.75,ZA,1680103680
149,kokkola,63.8385,23.1307,-3.87,78,75,2.57,FI,1680103680
150,coremas,-7.0144,-37.9458,33.6,38,11,1.66,BR,1680103680
151,awbari,26.5921,12.7805,28.34,13,0,5.91,LY,1680103680
152,mogadishu,2.0371,45.3438,28.93,79,20,5.14,SO,1680103681
153,kawalu,-7.3817,108.2082,22.74,96,100,1.58,ID,1680103681
154,havre-saint-pierre,50.2334,-63.5986,2.2,75,75,2.06,CA,1680103683
155,brownsburg,39.8434,-86.3978,9.25,68,0,5.14,US,1680103657
156,sobolevo,54.4299,31.8996,-1.18,95,100,6.8,RU,1680103684
157,honningsvag,70.9821,25.9704,-2.14,74,100,7.72,NO,1680103685
158,lahij,13.1667,44.5833,29.0,61,94,4.17,YE,1680103685
159,thinadhoo,0.5333,72.9333,28.29,73,1,2.2,MV,1680103686
160,dalianwan,39.0286,121.695,8.02,71,0,2.0,CN,1680103687
